,epoch,t_loss,t_acc,t_f1,v_loss,v_acc,v_f1
0,1,0.642829034434054,0.6600087412587413,0.39799238058042535,0.6483952201018899,0.6438407990314771,0.39026552755863575
1,2,0.6375654827464711,0.6603146853146853,0.39721609275950176,0.6478420768753957,0.6438407990314771,0.39026552755863575
2,3,0.628973148016385,0.6634469696969696,0.4197444353481511,0.638759070028693,0.6496670702179177,0.4084562228876735
3,4,0.6069139877121488,0.6828379953379954,0.5047225282062611,0.6171621261006695,0.681068401937046,0.560440196577959
4,5,0.5637374813462193,0.7230332167832167,0.6202272381380722,0.6028574735431348,0.6815980629539952,0.5780093373885652
5,6,0.502593026572452,0.7633449883449884,0.6947022289835492,0.5915711724152,0.7128480629539952,0.623922845721613
6,7,0.45126220712433884,0.7925262237762237,0.7387907118796151,0.5863983439186872,0.724273607748184,0.6508256505039473
7,8,0.4042323548824359,0.8181672494172494,0.773694915071631,0.5851860268641327,0.7341858353510896,0.6672082278239524
8,9,0.37163922590114573,0.8349067599067599,0.7964076488794268,0.5793766636969679,0.7484866828087167,0.6975864222815619
9,10,0.3384630573969899,0.8504079254079254,0.8167864410152843,0.5927384329044213,0.7541616222760291,0.6909226105372956
10,11,0.3164511802313211,0.8624854312354313,0.8325457054024119,0.6286311139494686,0.75090799031477,0.7072412440147868
11,12,0.29899275097952577,0.8703088578088578,0.8424965576196526,0.6377807805093668,0.7553722760290557,0.7119716167524704
12,13,0.2849109475012426,0.8778117715617716,0.8524367698436466,0.6419384307780508,0.7515133171912833,0.7132303122542734
13,14,0.2601012041345065,0.8859120046620046,0.8629422494333149,0.6519855119414248,0.763317191283293,0.719466284191005
14,15,0.2571231399452214,0.8876602564102564,0.8663370914671574,0.6464144208673703,0.7677058111380145,0.7216340650721518
